timestamp,num1,operator,num2,timetaken,got_wrong,ranked,game_time,key_strokes
1696307221.726882,94,-,34,2.142,True,False,120,"1.292,1.499,1.993,2.142"
1696307222.569806,9,*,2,0.843,False,False,120,"0.675,0.843"
1696307224.418557,57,+,98,1.849,False,False,120,"0.82,1.565,1.848"
1696307226.3753679,5,*,80,1.957,True,False,120,"0.802,1.001,1.138,1.508,1.624,1.817,1.957"
1696307227.978314,6,*,33,1.603,False,False,120,"0.688,0.892,1.264,1.449,1.603"
1696307229.686551,88,-,14,1.708,False,False,120,"1.267,1.708"
1696307231.268511,10,*,89,1.582,False,False,120,"0.956,1.252,1.422,1.581,1.582"
1696307234.4179251,82,-,45,3.149,True,False,120,"0.123,0.54,1.337,1.507,1.525,1.726,1.861,2.052,2.068,2.427,2.558,2.678,3.086,3.149"
1696307235.560426,89,-,86,1.142,False,False,120,1.142
1696307236.648864,49,+,62,1.088,False,False,120,"0.729,0.915,1.088"
1696307237.7803679,23,+,9,1.131,False,False,120,"1.036,1.131"
1696307241.099126,65,-,29,3.319,True,False,120,"1.451,1.976,2.165,2.374,2.81,3.319"
1696307242.510282,75,/,5,1.411,False,False,120,"0.832,1.411"
1696307244.982676,91,-,52,2.472,True,False,120,"1.637,1.717,2.193,2.319,2.409,2.472"
1696307246.139384,220,/,10,1.157,False,False,120,"0.613,1.157"
1696307247.705469,43,+,49,1.566,False,False,120,"1.075,1.297,1.487,1.566"
1696307248.941387,3,*,13,1.236,False,False,120,"0.771,1.084,1.16,1.236"
1696307249.893451,7,*,20,0.952,False,False,120,"0.655,0.86,0.952"
1696307252.625859,42,+,38,2.732,True,False,120,"1.248,1.395,1.757,1.878,2.57,2.732"
1696307254.718209,43,-,57,2.092,False,False,120,"1.111,1.522,1.69,1.91,2.092"
1696307255.703207,781,/,11,0.985,False,False,120,"0.885,0.985"
1696307256.607311,284,/,4,0.904,False,False,120,"0.832,0.904"
1696307258.045316,59,-,37,1.438,False,False,120,"1.036,1.438"
1696307259.881353,246,/,6,1.836,False,False,120,"1.073,1.208,1.67,1.836"
1696307262.5103118,93,-,37,2.629,True,False,120,"1.983,2.175,2.521,2.629"
1696307263.757778,39,+,27,1.247,False,False,120,"1.045,1.247"
1696307264.657504,90,-,70,0.9,False,False,120,"0.828,0.9"
1696307266.687653,96,+,50,2.03,True,False,120,"0.71,1.168,1.223,1.646,1.775,1.905,2.03"
1696307274.985483,9,*,65,8.298,True,False,120,"2.406,2.493,2.704,3.093,3.238,3.389,6.423,6.772,6.938,7.116,7.422,7.645,7.749,8.163,8.298"
1696307725.0437021,4,*,6,0.868,False,False,120,"0.731,0.868"
1696307728.425218,215,/,5,3.381,False,False,120,"2.635,3.381"
1696307729.340908,160,/,4,0.916,False,False,120,"0.841,0.915"
1696307731.2856781,53,+,65,1.945,False,False,120,"1.32,1.845,1.945"
1696307738.3768718,392,/,4,7.091,False,False,120,"1.95,4.093,4.435,-4.72,-5.06,5.239,-5.356,5.498,-5.602,5.749,-5.879,6.217,-6.485,6.708,-6.807,7.091"
1696307784.6261492,330,/,5,1.665,False,False,120,"1.16,-1.423,1.547,1.665"
1696307787.276974,11,*,89,2.651,True,False,120,"1.186,1.755,1.905,-2.456,2.651"
1696307788.885568,2,*,96,1.609,True,False,120,"0.856,1.036,1.248,-1.564,1.608"
1696307800.6496131,25,-,73,11.764,True,False,120,"0.947,1.035,-1.62,2.134,2.357,-3.408,5.721,-6.411,-6.719,-7.12,8.642,9.19,9.332,-9.645,9.921,-10.626,11.199,-11.577,11.764"
1696307804.112854,25,-,30,3.463,True,False,120,"1.005,1.351,1.525,-3.197,-3.348,3.463"
1696307806.268985,81,-,43,2.156,True,False,120,"1.453,1.529,-1.967,2.156"
1696307807.453492,341,/,11,1.184,False,False,120,"0.984,1.184"
1696307808.472933,2,*,61,1.019,False,False,120,"0.694,0.801,1.019"
1696307809.745214,102,/,6,1.272,False,False,120,"0.898,1.272"
1696307810.993624,96,-,35,1.248,False,False,120,"1.135,1.248"
1696307813.440799,9,*,73,2.447,False,False,120,"2.245,2.334,2.447"
1696307817.7073972,285,/,3,4.267,False,False,120,"2.269,-2.676,2.936,4.266"
1696307818.982359,43,+,11,1.275,False,False,120,"1.11,1.275"
1696307820.97407,8,*,86,1.992,False,False,120,"1.65,1.861,1.992"
1696307822.037786,27,+,30,1.064,False,False,120,"0.984,1.064"
1696307823.01012,22,+,5,0.972,False,False,120,"0.892,0.972"
1696307824.035567,284,/,4,1.025,False,False,120,"0.94,1.025"
1696307825.428759,88,+,83,1.393,False,False,120,"0.828,1.306,1.393"
1696307827.404429,14,+,85,1.976,True,False,120,"1.219,1.379,-1.58,-1.695,1.862,1.976"
1696307829.222959,77,-,9,1.818,False,False,120,"1.349,1.818"
1696307831.2732852,5,*,42,2.05,False,False,120,"0.791,-1.644,1.778,1.869,2.05"
1696307832.100867,7,*,4,0.828,False,False,120,"0.756,0.827"
1696307836.274963,576,/,8,4.174,False,False,120,"1.517,2.099,-2.551,3.205,-3.456,3.892,-4.11,4.174"
1696307837.7042282,50,-,67,1.429,False,False,120,"1.125,1.337,1.429"
1696307838.620218,71,-,69,0.916,False,False,120,0.916
1696307841.779573,89,-,65,3.159,True,False,120,"0.968,1.275,-2.055,-2.245,-2.403,3.0,3.159"
1696307843.050533,438,/,6,1.271,False,False,120,"1.056,1.271"
1696307844.334691,10,*,35,1.284,False,False,120,"0.823,-1.077,1.105,1.216,1.284"
1696307847.7763531,8,*,54,3.442,False,False,120,"1.663,1.895,-2.19,-2.317,2.377,2.416,-2.716,-2.849,3.166,3.366,3.441"
1696307848.780363,30,+,44,1.004,False,False,120,"0.918,1.004"
1696307850.496329,17,-,44,1.716,False,False,120,"1.13,1.672,1.716"
1696307851.8676548,11,*,82,1.371,False,False,120,"1.135,1.276,1.371"
1696307853.2738519,96,-,18,1.406,False,False,120,"1.295,1.406"
1696307854.089484,3,*,9,0.816,False,False,120,"0.768,0.815"
1696307856.2355351,77,+,87,2.146,True,False,120,"0.877,1.606,1.867,-2.049,2.146"
1696307857.610194,150,/,2,1.375,False,False,120,"1.331,1.374"
1696307859.873177,35,+,29,2.263,False,False,120,"1.146,-1.564,2.073,2.263"
1696307860.852003,100,-,83,0.979,False,False,120,"0.911,0.979"
1696307862.2092211,200,/,5,1.357,False,False,120,"0.945,-1.221,1.297,1.357"
