timestamp,num1,operator,num2,timetaken,got_wrong,ranked,game_time,key_strokes, wrong_ans
1695619027.8625998,6,*,13,4.542,False,False,0
1695619060.870202,87,-,73,1.343,False,False,120
1695619062.1261199,23,+,39,1.256,False,False,120
1695619063.2785122,748,/,11,1.152,False,False,120
1695619063.970983,55,-,15,0.692,False,False,120
1695619066.537525,58,-,83,2.566,True,False,120
1695619067.79263,80,-,25,1.255,False,False,120
1695619068.4316978,14,/,7,0.639,False,False,120
1695619069.788974,5,*,57,1.357,False,False,120
1695619071.579089,51,-,69,1.79,True,False,120
1695619072.56932,91,-,32,0.99,False,False,120
1695619073.653132,2,*,68,1.084,False,False,120
1695619074.372195,82,-,73,0.719,False,False,120
1695619075.221548,6,*,9,0.849,False,False,120
1695619076.144546,29,-,16,0.923,False,False,120
1695619077.228328,96,-,10,1.084,False,False,120
1695619078.2602508,13,+,29,1.032,False,False,120
1695619079.9903092,59,+,52,1.73,True,False,120
1695619081.2520618,76,+,75,1.262,True,False,120
1695619083.462917,90,/,5,2.211,False,False,120
1695619084.404604,2,+,50,0.942,False,False,120
1695619085.7178822,11,-,50,1.313,False,False,120
1695619087.236372,79,+,19,1.518,True,False,120
1695619087.855149,40,-,37,0.619,False,False,120
1695619089.142186,98,-,14,1.287,False,False,120
1695619090.2631402,29,+,65,1.121,False,False,120
1695619092.002628,12,-,84,1.739,False,False,120
1695619093.350486,35,+,21,1.348,False,False,120
1695619094.4825978,43,+,10,1.132,False,False,120
1695619098.310025,4,*,79,3.827,True,False,120
1695619101.411005,564,/,6,3.101,False,False,120
1695619103.024884,153,/,9,1.614,False,False,120
1695619103.982274,66,-,43,0.957,False,False,120
1695619105.09911,174,/,2,1.117,False,False,120
1695619107.2641668,43,+,73,2.165,True,False,120
1695619107.9643662,390,/,10,0.7,False,False,120
1695619109.3767738,51,/,3,1.412,False,False,120
1695619112.250693,112,/,4,2.874,False,False,120
1695619113.1785622,96,-,63,0.928,False,False,120
1695619115.1475961,70,-,49,1.969,True,False,120
1695619116.523092,168,/,7,1.375,False,False,120
1695619117.5866802,51,-,28,1.064,False,False,120
1695619119.52476,72,+,17,1.938,False,False,120
1695619120.65424,20,-,34,1.129,False,False,120
1695619121.521796,85,-,44,0.867,False,False,120
1695619123.675691,2,*,64,2.154,True,False,120
1695619124.735361,45,+,4,1.06,False,False,120
1695619125.9617789,46,+,29,1.226,False,False,120
1695619127.3878121,74,+,2,1.426,False,False,120
1695619128.312533,4,*,15,0.925,False,False,120
1695619129.263423,37,+,32,0.951,False,False,120
